#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
1123.99,100.00,-3.96,-4.00
1120.98,100.00,-4.02,-4.00
1116.98,100.00,-4.01,-4.00
1110.98,100.00,-4.05,-4.00
1104.99,100.00,-4.10,-4.00
1096.99,100.00,-4.18,-4.00
1094.99,101.00,-4.13,-4.00
1088.98,101.00,-4.17,-4.00
1088.98,101.00,-4.14,-4.00
1075.98,100.00,-4.47,-4.00
1072.98,100.00,-4.58,-4.00
1067.98,100.00,-4.09,-4.00
1059.98,100.00,-4.27,-4.00
1056.99,100.00,-4.38,-4.00
1050.99,100.00,-4.31,-4.00
1045.99,100.00,-4.14,-4.00
1037.00,100.00,-4.34,-4.00
1033.00,100.00,-4.40,-4.00
1030.00,100.00,-4.18,-4.00
1023.99,100.00,-4.18,-4.00
1015.99,100.00,-4.28,-4.00
1012.99,100.00,-4.29,-4.00
1008.99,100.00,-4.29,-4.00
1008.99,100.00,-4.04,-4.00
994.99,100.00,-4.41,-4.00
992.99,100.00,-4.16,-4.00
989.99,100.00,-4.20,-4.00
980.99,100.00,-4.31,-4.00
976.99,101.00,-4.48,-4.00
971.99,101.00,-4.11,-4.00
971.99,100.00,-4.01,-4.00
959.99,100.00,-4.30,-4.00
956.98,100.00,-4.07,-4.00
952.98,100.00,-4.13,-4.00
947.98,100.00,-4.09,-4.00
943.99,100.00,-4.03,-4.00
937.99,100.00,-3.95,-4.00
934.99,100.00,-3.90,-4.00
927.99,100.00,-4.06,-4.00
922.99,100.00,-4.02,-4.00
916.99,100.00,-3.96,-4.00
912.99,100.00,-3.98,-4.00
904.99,100.00,-4.15,-4.00
902.99,100.00,-4.23,-4.00
897.99,100.00,-3.84,-4.00
898.00,100.00,-3.76,-4.00
885.00,100.00,-4.14,-4.00
880.00,100.00,-4.01,-4.00
880.00,100.00,-3.84,-4.00
872.00,100.00,-4.00,-4.00
868.00,100.00,-4.16,-4.00
864.00,100.00,-3.80,-4.00
864.00,100.00,-3.70,-4.00
851.00,100.00,-4.03,-4.00
848.00,100.00,-3.94,-4.00
842.00,100.00,-4.04,-4.00
836.00,100.00,-4.03,-4.00
831.99,100.00,-4.06,-4.00
828.99,100.00,-3.91,-4.00
823.99,100.00,-3.93,-4.00
816.99,100.00,-3.93,-4.00
812.99,100.00,-3.95,-4.00
807.99,100.00,-3.83,-4.00
803.99,100.00,-3.89,-4.00
796.99,100.00,-3.98,-4.00
791.99,100.00,-4.18,-4.00
786.99,99.00,-3.89,-4.00
786.99,99.00,-3.68,-4.00
774.99,100.00,-4.18,-4.00
773.99,99.00,-3.89,-4.00
769.99,100.00,-3.86,-4.00
760.99,100.00,-4.09,-4.00
756.99,100.00,-4.25,-4.00
751.99,100.00,-3.94,-4.00
743.99,100.00,-4.13,-4.00
737.99,100.00,-4.13,-4.00
734.99,100.00,-4.01,-4.00
729.99,100.00,-4.06,-4.00
722.99,100.00,-4.24,-4.00
718.00,100.00,-4.21,-4.00
714.00,100.00,-4.13,-4.00
710.00,100.00,-4.13,-4.00
701.00,100.00,-4.24,-4.00
697.00,100.00,-4.26,-4.00
693.00,100.00,-4.12,-4.00
693.00,100.00,-3.93,-4.00
680.00,100.00,-4.22,-4.00
676.00,100.00,-4.39,-4.00
672.00,100.00,-4.06,-4.00
665.99,100.00,-4.23,-4.00
660.99,100.00,-4.30,-4.00
657.99,100.00,-4.04,-4.00
654.99,100.00,-4.00,-4.00
645.99,100.00,-4.15,-4.00
641.99,100.00,-4.01,-4.00
637.99,100.00,-3.90,-4.00
631.99,101.00,-4.05,-4.00
622.99,101.00,-4.21,-4.00
615.99,101.00,-4.17,-4.00
605.99,101.00,-4.41,-4.00
600.99,101.00,-4.45,-4.00
595.98,101.00,-4.46,-4.00
588.98,101.00,-4.43,-4.00
586.98,101.00,-4.34,-4.00
574.99,101.00,-4.65,-4.00
574.99,101.00,-4.65,-4.00
574.99,101.00,-4.15,-4.00
574.99,101.00,-3.98,-4.00
559.99,101.00,-4.44,-4.00
555.99,101.00,-4.40,-4.00
548.99,100.00,-4.46,-4.00
542.99,100.00,-4.57,-4.00
535.99,100.00,-4.73,-4.00
533.99,100.00,-4.46,-4.00
530.00,100.00,-4.44,-3.90
520.00,99.00,-4.71,-3.80
516.00,100.00,-4.63,-3.70
512.00,100.00,-4.40,-3.60
507.00,100.00,-4.35,-3.50
500.00,100.00,-4.21,-3.40
497.00,100.00,-4.11,-3.30
492.00,100.00,-4.13,-3.20
486.00,100.00,-4.09,-3.10
480.00,100.00,-4.24,-3.00
477.00,100.00,-3.89,-2.90
474.00,99.00,-4.02,-2.80
467.00,100.00,-4.27,-2.70
463.00,100.00,-4.44,-2.60
460.00,100.00,-3.94,-2.50
460.00,100.00,-3.77,-2.40
451.00,100.00,-3.88,-2.30
448.00,99.00,-3.76,-2.20
444.00,100.00,-3.66,-2.10
439.00,100.00,-3.75,-2.00
437.00,99.00,-3.69,-1.90
432.00,100.00,-3.48,-1.80
429.00,100.00,-3.43,-1.70
421.00,100.00,-3.62,-1.60
418.00,100.00,-3.52,-1.50
416.00,100.00,-3.33,-1.40
411.00,100.00,-3.41,-1.30
409.00,100.00,-3.30,-1.20
404.00,100.00,-3.23,-1.10
405.00,100.00,-2.95,-1.00
402.00,99.00,-2.96,-0.90
398.00,100.00,-2.98,-0.80
397.00,100.00,-2.77,-0.70
397.00,100.00,-2.61,-0.60
394.00,100.00,-2.59,-0.50
391.00,99.00,-2.71,-0.40
390.00,99.00,-2.38,-0.30
388.00,100.00,-2.34,-0.20
387.00,100.00,-2.21,-0.10
386.00,100.00,-2.07,-0.00
1
386.00,99.00,-1.99,0.00
383.00,99.00,-1.89,0.00
383.00,100.00,-1.78,0.00
